ID,Error grading project,Background has an image.,There are at least 3 sprites.,A sprite is animated in place.,A second sprite is animated in place.,A different sprite is animated while moving.
114H1,0,1,1,1,1,1
114H10,0,1,1,1,1,0
114H11,0,1,1,1,1,1
114H12,0,1,1,1,1,1
114H13,0,1,1,1,1,1
114H14,0,1,1,0,0,1
114H15,0,1,1,1,1,1
114H16,0,1,1,1,1,0
114H17,0,1,1,1,0,1
114H18,0,1,1,1,1,0
114H2,0,1,1,1,1,0
114H20,0,1,1,1,0,0
114H21,0,1,1,1,1,1
114H22,0,1,1,0,0,0
114H23,0,1,1,0,0,1
114H24,0,1,1,1,1,0
114H25,0,1,1,1,1,1
114H26,0,1,1,1,1,0
114H27,0,1,1,1,1,1
114H28,0,1,1,1,1,0
114H29,0,1,1,1,1,0
114H3,0,1,1,1,0,1
114H4,0,1,1,1,1,1
114H5,0,1,1,0,0,0
114H6,0,1,1,0,0,1
114H7,0,1,1,0,0,0
114H8,0,1,1,1,1,0
114H9,0,1,1,1,1,1
msboyd114,0,1,1,0,0,0
