ID,Error grading project,Car's costume has been changed.,Car stops at something other than the stop sign.,Car says something after it stops.,Changed the speed of the car.
5thLRG1,0,1,1,1,1
5thLRG12,0,1,1,0,0
5thLRG13,0,1,1,0,1
5thLRG15,0,1,1,1,1
5thLRG18,0,1,0,0,0
5thLRG19,0,1,1,1,1
5thLRG2,0,1,1,1,1
5thLRG20,0,1,1,1,1
5thLRG21,0,1,1,1,1
5thLRG22,0,1,1,0,1
5thLRG23,0,1,1,1,1
5thLRG24,0,1,0,1,0
5thLRG25,0,0,0,0,0
5thLRG26,0,0,1,1,0
5thLRG27,0,1,1,1,1
5thLRG28,0,1,1,0,0
5thLRG29,0,1,1,1,1
5thLRG31,0,0,1,0,0
5thLRG6,0,1,1,0,1
5thLRG8,0,1,1,1,1
5thLRG9,0,1,1,1,0
