Grade,Teacher ID,Studio ID,Class Size,0,1,2,3,4,5,6,7,8,9
7,B,18604870,29,1,6,17,3,0,1,0,0,1,0
7,A,20135535,2,1,0,0,0,0,0,0,1,0,0
7,B,18596059,28,0,5,11,1,2,0,1,3,1,4
6,F,19427383,20,0,7,5,2,2,0,2,0,1,1
6,F,19413069,32,0,2,3,5,3,3,3,2,4,7
6,F,18635472,22,0,2,7,3,3,2,1,2,1,1
6,D,18404783,25,4,0,5,0,1,2,1,0,3,9
6,F,19400367,22,0,2,5,3,1,2,0,3,1,5
6,F,19407968,1,0,1,0,0,0,0,0,0,0,0
6,H,19418070,30,0,0,1,0,3,2,0,1,5,18
8,D,18268940,17,0,0,3,0,0,1,0,0,3,10
4,E,18445469,29,0,0,5,0,2,3,1,2,0,16
5,H,19412343,28,0,1,4,1,2,1,0,3,1,15
5,E,18612166,29,0,0,0,2,1,0,2,2,5,17
5,G,19469300,3,1,0,0,0,2,0,0,0,0,0
