Grade,Teacher ID,Studio ID,Class Size,0,1,2,3,4,5,6
4,E,18445058,24,0,0,1,0,11,7,5
5,C,18405108,25,0,0,0,1,5,14,5
5,E,20149573,28,0,0,2,2,8,6,10
5,H,19405001,27,0,0,2,0,8,8,9
6,D,18404274,28,0,0,0,0,8,14,6
6,F,18631888,27,0,1,2,0,8,5,11
6,F,18651165,25,0,0,1,0,7,8,9
6,F,19406758,12,1,1,3,0,3,2,2
6,F,19410743,30,0,0,0,2,10,14,4
6,F,19425977,25,0,0,1,1,12,6,5
6,H,19416974,28,0,0,1,1,3,16,7
7,B,18597343,32,0,0,2,0,8,10,12
7,B,18602825,31,0,2,4,1,14,7,3
7,D,18428701,29,0,0,3,0,9,14,3
7,I,19456750,19,0,1,2,0,5,5,6
7,J,19444877,20,0,2,4,1,8,4,1
8,D,18268179,23,0,0,0,3,3,12,5
8,I,19447478,20,0,2,1,1,5,9,2
