Grade,Teacher ID,Studio ID,Class Size,Added a new backdrop.,Added a new sprite.,"The main sprite has a script with the ""when green flag clicked"" block.",The main sprite starts in the same place every time.,The main sprite says something.,The main sprite moves.,Total
7,J,19444877,20,95.0,85.0,70.0,40.0,50.0,15.0,59.17
7,B,18602825,31,100.0,93.55,80.65,19.35,67.74,32.26,65.59
7,D,18428701,29,100.0,96.55,89.66,41.38,89.66,31.03,74.71
7,I,19456750,19,94.74,100.0,84.21,47.37,84.21,42.11,75.44
7,B,18597343,32,96.88,100.0,93.75,53.12,84.38,65.62,82.29
6,F,19406758,12,83.33,66.67,58.33,41.67,50.0,41.67,56.94
6,F,19425977,25,96.0,92.0,96.0,44.0,92.0,32.0,75.33
6,H,19416974,28,100.0,100.0,96.43,85.71,85.71,28.57,82.74
6,F,19410743,30,100.0,96.67,100.0,50.0,93.33,26.67,77.78
6,D,18404274,28,92.86,92.86,100.0,75.0,92.86,39.29,82.14
6,F,18651165,25,100.0,96.0,96.0,60.0,88.0,56.0,82.67
6,F,18631888,27,100.0,96.3,88.89,55.56,85.19,48.15,79.01
8,I,19447478,20,95.0,95.0,85.0,40.0,75.0,30.0,70.0
8,D,18268179,23,100.0,86.96,100.0,69.57,86.96,39.13,80.43
4,E,18445058,24,100.0,100.0,95.83,41.67,95.83,29.17,77.08
5,H,19405001,27,100.0,100.0,92.59,51.85,92.59,44.44,80.25
5,E,20149573,28,96.43,92.86,96.43,53.57,82.14,50.0,78.57
5,C,18405108,25,100.0,96.0,100.0,64.0,96.0,36.0,82.0
