Grade,Teacher ID,Studio ID,Class Size,The backdrop of the project was changed,There are at least three sprites,A sprite has two required events,A second sprite has two required events,A third sprite has two required events,A sprite has two scripts with unique events,A second sprite has two scripts with unique events,A third sprite has two scripts with unique events,Uses all event blocks from lesson plan,Total
4,E,18445469,29,100.0,96.55,82.76,62.07,55.17,82.76,65.52,58.62,75.86,75.48
5,E,18612166,29,93.1,100.0,93.1,82.76,75.86,96.55,93.1,82.76,72.41,87.74
5,G,19469300,3,66.67,66.67,66.67,0.0,0.0,66.67,0.0,0.0,0.0,29.63
5,H,19412343,28,96.43,100.0,78.57,64.29,57.14,78.57,67.86,60.71,71.43,75.0
6,D,18404783,25,80.0,84.0,64.0,56.0,44.0,64.0,52.0,44.0,52.0,60.0
6,F,18635472,22,100.0,86.36,50.0,22.73,9.09,45.45,22.73,9.09,36.36,42.42
6,F,19400367,22,100.0,81.82,59.09,45.45,27.27,59.09,45.45,27.27,50.0,55.05
6,F,19407968,1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11
6,F,19413069,32,100.0,78.12,75.0,46.88,34.38,75.0,50.0,37.5,56.25,61.46
6,F,19427383,20,100.0,55.0,40.0,20.0,10.0,40.0,20.0,10.0,5.0,33.33
6,H,19418070,30,96.67,100.0,96.67,86.67,76.67,93.33,83.33,76.67,66.67,86.3
7,A,20135535,2,50.0,50.0,50.0,50.0,0.0,50.0,50.0,0.0,50.0,38.89
7,B,18596059,28,100.0,82.14,39.29,32.14,17.86,39.29,32.14,17.86,28.57,43.25
7,B,18604870,29,96.55,75.86,6.9,3.45,3.45,10.34,3.45,3.45,10.34,23.75
8,D,18268940,23,100.0,95.65,82.61,82.61,78.26,82.61,82.61,78.26,56.52,82.13
